NumberOfOffers,Outcome,FirstWithdrawalAmount,MonthlyCost,CreditScore,Treatment,limit raise,new credit,car,caravan / camper,existing loan takeover,extra spending limit,home improvement,motorcycle,not speficied,other,"other, see explanation",remaining debt home,unknown
1,0,5000.0,241.28,899.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1,0,8304.0,500.0,899.0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
1,1,5000.0,152.82,899.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1,1,577.0,56.3,824.0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
1,0,10000.0,230.66,899.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
2,1,5000.0,222.31,914.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1,1,8304.0,624.17,899.0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
1,1,15000.0,361.62,909.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1,1,7065.0,264.74,972.0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
1,1,8304.0,700.0,810.0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
1,1,8304.0,200.0,836.0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
1,1,11120.0,535.22,896.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1,1,8940.0,292.86,899.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
1,1,30000.0,305.47,964.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
1,0,15000.0,157.59,899.0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
2,0,16000.0,168.09,899.0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
1,1,6000.0,289.53,899.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2,0,5777.06,179.8,899.0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
2,0,3000.0,197.3,899.0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1,1,15000.0,340.8,899.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1,1,9000.0,101.34,911.0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
1,1,772.0,502.05,937.0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
1,1,11000.0,246.95,899.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1,1,6000.0,136.79,1029.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1,0,8304.0,400.0,899.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
5,1,15000.0,154.11,899.0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
1,0,50000.0,522.97,899.0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
1,1,4000.0,205.49,899.0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
1,0,19000.0,195.21,899.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
1,1,15700.0,343.63,781.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1,0,8304.0,500.0,899.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1,1,8304.0,200.0,1015.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1,1,15000.0,154.11,844.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
1,1,8304.0,150.0,899.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
1,0,6000.0,67.56,899.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
1,1,5864.08,427.65,862.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
1,1,8304.0,232.82,899.0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
2,1,520.0,418.37,920.0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
1,1,5000.0,400.0,899.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1,1,5169.03,360.85,844.0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
2,1,5073.53,154.11,692.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
2,0,423.0,280.01,899.0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
1,1,10000.0,250.0,914.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1,1,3508.8,292.86,977.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
2,0,8304.0,150.0,899.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1,0,10000.0,106.46,899.0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
1,1,8304.0,1295.57,969.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
2,1,20000.0,1294.25,899.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2,0,8304.0,458.2,899.0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
1,1,6700.0,204.78,927.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1,0,5000.0,138.94,899.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1,1,8914.0,410.63,927.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
1,1,8304.0,120.0,859.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
1,1,10000.0,249.58,899.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2,1,20000.0,205.49,986.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
2,1,33786.0,376.74,928.0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
1,1,12000.0,315.05,868.0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
1,1,8992.0,652.6,949.0,0,0,1,0,0,0,0,1,0,0,0,0,0,0
2,1,4287.0,154.11,899.0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
1,1,8304.0,710.36,899.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1,1,1969.0,498.93,888.0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
1,0,5000.0,222.31,899.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1,1,8304.0,275.0,899.0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
1,0,5000.0,291.87,899.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0
1,1,8304.0,350.0,899.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
3,1,54000.0,615.01,899.0,1,0,1,0,0,0,0,0,1,0,0,0,0,0
1,0,75000.0,763.67,899.0,1,0,1,0,0,0,0,0,0,0,1,0,0,0
2,0,4182.71,205.49,899.0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
1,1,8304.0,400.71,879.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
1,1,18000.0,456.42,1049.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1,0,5000.0,431.05,899.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
1,1,5390.0,199.61,914.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
1,1,16000.0,393.8,1006.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
1,1,6501.65,397.45,924.0,1,0,1,0,0,0,0,0,0,0,0,0,0,1
1,1,2400.0,152.82,823.0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
3,1,6500.0,107.26,800.0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
1,1,1000.0,275.0,899.0,1,1,0,0,0,0,0,0,0,0,0,0,0,1
1,1,5000.0,56.3,899.0,1,0,1,0,1,0,0,0,0,0,0,0,0,0
1,0,8304.0,150.0,899.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
2,1,8304.0,341.11,853.0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
2,1,23700.0,243.5,960.0,1,0,1,0,0,0,0,0,0,0,0,1,0,0
2,1,10000.0,300.07,943.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
1,0,4190.0,222.31,899.0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1,0,110.0,195.21,899.0,1,0,1,0,0,1,0,0,0,0,0,0,0,0
1,1,25000.0,277.45,991.0,1,0,1,0,0,0,0,1,0,0,0,0,0,0
4,0,10000.0,300.07,899.0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
